InnerGeo Kids Ages 9–12 — Bilingual Review Source V1
Items: 64

K912-CREATE-01 | EN: Would you enjoy developing your own visual style for a poster, page, object, or digital design? | ZH: 你会喜欢为海报、页面、物品或数字作品设计属于自己的视觉风格吗？ | Construct: Original visual style development
K912-CREATE-02 | EN: Would you enjoy taking an ordinary idea and finding a more original way to present it? | ZH: 你会喜欢把一个普通的想法，用更有创意的方式表现出来吗？ | Construct: Creative transformation
K912-CREATE-03 | EN: If you were given several simple materials, would you enjoy experimenting with different ways to turn them into something new? | ZH: 如果给你一些简单材料，你会喜欢尝试不同的方法，把它们变成一个新的东西吗？ | Construct: Experimental creation
K912-CREATE-04 | EN: Would you enjoy inventing a character, world, scene, or concept that did not exist before? | ZH: 你会喜欢创造一个以前不存在的角色、世界、场景或概念吗？ | Construct: Imaginative creation
K912-CREATE-05 | EN: Would you enjoy experimenting with colour, shape, sound, movement, or words until an idea feels more like your own? | ZH: 你会喜欢不断尝试颜色、形状、声音、动作或文字，直到一个想法更有自己的特色吗？ | Construct: Creative experimentation
K912-CREATE-06 | EN: If two people solved the same creative task in very different ways, would you enjoy finding a third approach of your own? | ZH: 如果两个人用很不同的方法完成同一个创意任务，你会喜欢再想出一种自己的方法吗？ | Construct: Original alternative generation
K912-CREATE-07 | EN: How much would you enjoy improving the look, feel, or experience of something by changing its design? | ZH: 你有多喜欢通过改变设计，让一个东西的外观、感觉或使用体验变得不同？ | Construct: Design-oriented interest
K912-CREATE-08 | EN: Would you enjoy making several different versions of the same creative idea to see how each one changes the result? | ZH: 你会喜欢把同一个创意做成几个不同版本，看看不同变化会带来什么效果吗？ | Construct: Creative variation interest
K912-DISCOVER-01 | EN: Would you enjoy investigating why something unexpected happened instead of accepting the first explanation? | ZH: 如果发生了一件意外的事情，你会喜欢继续调查原因，而不是马上接受第一个解释吗？ | Construct: Causal investigation
K912-DISCOVER-02 | EN: Would you enjoy comparing evidence from several sources before deciding what you think happened? | ZH: 你会喜欢比较来自几个不同来源的线索或证据，再判断事情可能是怎么发生的吗？ | Construct: Evidence comparison
K912-DISCOVER-03 | EN: Would you enjoy testing two different explanations to see which one fits the evidence better? | ZH: 你会喜欢测试两种不同的解释，看看哪一种和证据更符合吗？ | Construct: Hypothesis comparison
K912-DISCOVER-04 | EN: If you noticed a pattern changing over time, would you enjoy collecting more observations to understand what is happening? | ZH: 如果你发现一个规律随着时间发生变化，你会喜欢继续观察并收集更多信息，弄清楚发生了什么吗？ | Construct: Longer-form observation
K912-DISCOVER-05 | EN: Would you enjoy exploring how a natural, technological, or human system works beneath the surface? | ZH: 你会喜欢深入探索一个自然、技术或人类系统背后是如何运作的吗？ | Construct: Systems curiosity
K912-DISCOVER-06 | EN: Would you enjoy noticing small differences between examples and using them as clues to explain a larger pattern? | ZH: 你会喜欢观察不同例子之间的小差别，并用这些差别作为线索去理解更大的规律吗？ | Construct: Evidence-to-pattern investigation
K912-DISCOVER-07 | EN: How much would you enjoy exploring a question when the answer is not immediately obvious? | ZH: 当一个问题没有马上就能看出的答案时，你有多喜欢继续探索它？ | Construct: Open-ended investigation interest
K912-DISCOVER-08 | EN: Would you enjoy comparing new evidence with your first idea to see whether another explanation might fit better? | ZH: 你会喜欢把新的证据和自己最开始的想法进行比较，看看是否还有其他更合适的解释吗？ | Construct: Evidence comparison interest
K912-BUILD-01 | EN: Would you enjoy designing and assembling a simple object from separate parts? | ZH: 你会喜欢把不同的零件设计并组合成一个简单物品吗？ | Construct: Assembly interest
K912-BUILD-02 | EN: If something simple was unstable or did not work properly, would you enjoy changing its structure to improve it? | ZH: 如果一个简单的东西不够稳，或者不能正常工作，你会喜欢改变它的结构，让它变得更好吗？ | Construct: Physical improvement interest
